Timestamp,Open,High,Low,Close,Volume
2024-03-02T12:29:00+05:30,90.6,90.6,90.55,90.55,137098
2024-03-02T12:28:00+05:30,90.55,90.6,90.5,90.55,77591
2024-03-02T12:27:00+05:30,90.5,90.6,90.45,90.55,168325
2024-03-02T12:26:00+05:30,90.5,90.55,90.45,90.5,97045
2024-03-02T12:25:00+05:30,90.5,90.5,90.4,90.5,138075
2024-03-02T12:24:00+05:30,90.5,90.5,90.4,90.5,87768
2024-03-02T12:23:00+05:30,90.45,90.5,90.4,90.5,88207
2024-03-02T12:22:00+05:30,90.4,90.5,90.4,90.5,68134
2024-03-02T12:21:00+05:30,90.45,90.45,90.4,90.45,46782
2024-03-02T12:20:00+05:30,90.45,90.45,90.4,90.45,27291
2024-03-02T12:19:00+05:30,90.5,90.5,90.4,90.4,84071
2024-03-02T12:18:00+05:30,90.5,90.5,90.4,90.4,26433
2024-03-02T12:17:00+05:30,90.45,90.5,90.4,90.5,74878
2024-03-02T12:16:00+05:30,90.4,90.45,90.4,90.45,47847
2024-03-02T12:15:00+05:30,90.4,90.45,90.35,90.45,32105
2024-03-02T12:14:00+05:30,90.4,90.45,90.35,90.4,72817
2024-03-02T12:13:00+05:30,90.4,90.4,90.35,90.4,23940
2024-03-02T12:12:00+05:30,90.4,90.45,90.35,90.4,68028
2024-03-02T12:11:00+05:30,90.4,90.4,90.35,90.4,56858
2024-03-02T12:10:00+05:30,90.4,90.4,90.35,90.4,60540
2024-03-02T12:09:00+05:30,90.4,90.4,90.35,90.4,29592
2024-03-02T12:08:00+05:30,90.4,90.4,90.35,90.35,38591
2024-03-02T12:07:00+05:30,90.35,90.4,90.3,90.35,37198
2024-03-02T12:06:00+05:30,90.4,90.4,90.3,90.35,15402
2024-03-02T12:05:00+05:30,90.3,90.4,90.3,90.4,26164
2024-03-02T12:04:00+05:30,90.4,90.4,90.35,90.4,32882
2024-03-02T12:03:00+05:30,90.4,90.4,90.35,90.4,20886
2024-03-02T12:02:00+05:30,90.35,90.4,90.35,90.4,40725
2024-03-02T12:01:00+05:30,90.4,90.4,90.35,90.4,18771
2024-03-02T12:00:00+05:30,90.35,90.4,90.35,90.35,23508
2024-03-02T11:59:00+05:30,90.35,90.4,90.35,90.35,24891
2024-03-02T11:58:00+05:30,90.3,90.4,90.3,90.35,55866
2024-03-02T11:57:00+05:30,90.4,90.4,90.3,90.35,18663
2024-03-02T11:56:00+05:30,90.35,90.4,90.3,90.3,20919
2024-03-02T11:55:00+05:30,90.4,90.4,90.35,90.4,53884
2024-03-02T11:54:00+05:30,90.35,90.4,90.3,90.35,50500
2024-03-02T11:53:00+05:30,90.4,90.4,90.3,90.35,37641
2024-03-02T11:52:00+05:30,90.35,90.4,90.3,90.4,40687
2024-03-02T11:51:00+05:30,90.35,90.35,90.3,90.3,24816
2024-03-02T11:50:00+05:30,90.35,90.4,90.3,90.35,60219
2024-03-02T11:49:00+05:30,90.4,90.45,90.3,90.35,44302
2024-03-02T11:48:00+05:30,90.45,90.45,90.35,90.4,36487
2024-03-02T11:47:00+05:30,90.5,90.5,90.4,90.45,41954
2024-03-02T11:46:00+05:30,90.4,90.5,90.4,90.5,26108
2024-03-02T11:45:00+05:30,90.45,90.45,90.4,90.4,79878
2024-03-02T11:44:00+05:30,90.45,90.45,90.35,90.45,43713
2024-03-02T11:43:00+05:30,90.45,90.45,90.35,90.45,31830
2024-03-02T11:42:00+05:30,90.55,90.55,90.4,90.45,82059
2024-03-02T11:41:00+05:30,90.35,90.6,90.3,90.55,165309
2024-03-02T11:40:00+05:30,90.3,90.45,90.3,90.4,101350
2024-03-02T11:39:00+05:30,90.25,90.35,90.25,90.35,28622
